Nama_Resep,Bahan_Bahan,Cara_Membuat,Jenis_Resep,Bahan_1,Bahan_2,Bahan_3,Bahan_4,Bahan_5
balado tempe asam pedas,1 papan tempe--5 cabe merah--1 tomat--3 butir bawang merah--1 butir bawang putih--2 siung jahe--Garam--Gula--,"Potong dadu tempe sesuai selera, goreng sampe menguning--Ulek cabai merah, bawang putih, bawang merah, tomat, jahe sampe halus--Tumis bumbu yg sudah diulek sampe harum, kasih air secukupnya tambahkan garam dan gula, penyedap rasa cicipi hingga rasanya pas masukan tempe yg udah ditiriskan aduk hingga merata, balado tempe siap disajikan--",tempe,tempe,cabai,tomat,bawang merah,bawang putih
balado tempe petai,"1/2 papan tempe--Sckpnya pete--2 biji cabe merah besar--1 bh tomat--15 biji cabe rawit--1 bh bawang putih--5 bh bawang merah--Sckpnya garam,gula--","Potong tempe kecil2,atau sesuai selera lalu digoreng--Goreng bumbu (cabe,duo bawang dan tomat) haluskan--Tumis bumbu yg dihaluskan,,masukkan tempe goreng dan pete--Bubuhkan garam dan gula,,cicipi rasa,angkat--Siap di hidangkan--",tempe,tempe,petai,cabai,tomat,bawang putih
balado terong tempe,3 buah terong ungu--1 papan tempe--Cabai merah kriting--2 siung bawang putih--2 siung bawang merah--1/2 buah tomat merah--Minyak--Gula--Garam--,"Potong dadu tempe, lalu goreng dan sisihkan--Potong2 terong sesuai keinginan, goreng dan sisihkan--Haluskan bumbu (cabai, bawang putih dan bawang merah, tomat) sisihkan--Panas kan Minyak, masak bumbu balado hingga matang lalu masukan terong dan tempe yang sudah di goreng terlebih dahulu--Aduk2 hingga tercampur dan matang--Selesai dan selamat mencoba--",tempe,terong,tempe,cabai,bawang putih,bawang merah
balado udang,1/2 kg udang kupas--5 biji cabe merah--1 buah tomat--5 siung bawang merah--4 siung bawang putih--3 sendok makan minyak untuk menumis--1/2 gelas air--3 helai daun bawang--1 buah bawang bombay--1 bungkus masako rasa ayam--,"Blender bumbu bawang merah, bawang putih, cabe merah dan tomat--Tumis bumbu yang telah halus dengan minyak panas kemudian masukan udang tambahkan setengah gelas air sampai agak kering tambahkan daun bawang yang telah diiris dan bawang bombay yang telah diiris aduk kembali sampai rata kemudian angkat dan sajikan--",udang,udang,cabai,tomat,bawang merah,bawang putih
balado udang petai,"250 gr udang putih--2 papan pete--2 buah kentang--15 buah cabai merah--7 butir bawang merah--1 buah tomat--1 lembar daun salam--secukupnya Garam, air asam jawa, gula--Minyak--","Cuci dan bersihkan semuah bahan. Udang dikupas, taburi garam dan air jeruk nipis. Diamkan 15 menit. Pete di bersihkan, belah dua. Kupas kentang, dan potong dadu--Goreng kentang sampai kecoklatan. Lalu udang dan pete.--Haluskan cabai, bawang merah dan tomat.--Tumis bumbu halus dan daun salam sampai harum dan matang. Masukkan kentang, udang dan pete. Beri garam, satu sendok air asam jawa dan gula (optional). Aduk sampai semua tercampur rata.--Tes rasa. Angkat, sajikan dengan nasi hangat. Pas buat makan siang. 😊--",udang,udang,petai,kentang,cabai,bawang merah
balado udang tahu,"1/2 kg Udang--5 biji Tahu putih--20 biji Cabe merah--5 siung Bawang merah--4 siung Bawang putih--2 siung Kemiri--2 lembar Daun jeruk--Lengkuas dikeprek--Daun bawang potong2 besar--Penyedap rasa, garam, gula, kecap manis--","Udang dibersihkan. Kalo saya buntutnya sama kulitnya saya kupas semua. Jadi sisa daging udangnya saja--Tahu putih dipotong potong dadu lalu di goreng setengah mateng--Cabe merah, bawang merah, bawang putih, kemiri diblander sampai halus. Tapi sblm diblander tambahkan minyak sayur sedikit dan air sedikit agar bahan2nya tidak seret saat diblander--Siapkan wajan yg sudah dipanaskan tp jangan diberi minyak sayur dulu. Lalu masukan bumbu yg sudah di blander td. Aduk2 sampai bumbunya kering lalu masukan minyak sayur secukupnya--Lalu masukan udang dan tahu lalu kasih garam, gula, kecap dan penyedap rasa secukupnya aduk2 lalu masukan daun bawang--Koreksi rasa diamkan sebentar lalu sajikan--",udang,udang,tahu,cabai,bawang merah,bawang putih
bali tahu telur petai,3 butir telur(rebus kupas)--1 buah tahu(potong tipis2)--2 papan pete(ambil bijinya)--6 siung bawang merah--4 siung bawang putih--8 buah cabe merah(buang isinya trs iris2)--5 buah cabe rawit--1 bji tomat merah--1 cm jahe--2 lmbar daun jeruk--Garam gula kaldu bubuk--1 sdt kecap manis--,Rebus dulu bawang merah.bawang putih.cabe merah.cabe rawit.tomat..agar tidak bau langu--Goreng telur rebus..tahu dan pete--Haluskan bumbu yg direbus tadi beserta jahe(aq pkek blender)--Taruh di wajan dngn sdikit minyak bumbu halus tadi--Tmbhkan daun jeruk garam gula kaldu bubuk--Kasih air secukupnya--Mskkan tahu telur pete dan kecap--Tunggu hingga meresap dan air menyusut--Tes rasa...klo drasa sdah pas angkat--,telur,telur,tahu,petai,bawang merah,bawang putih
bali tahu tempe,"4 kotak tahu putih ukuran kecil, goreng 1/2 matang--1/2 papan tempe, goreng 1/2 matang--6 siung bawang merah, iris tipis--1 sdm gula merah--1 buah tomat, iris--1 sdm kecap manis--secukupnya Gula--secukupnya Garam--secukupnya Air--🔷Bumbu halus:--4 siung bawang putih--3 siung bawang merah--7 buah cabe keriting--2 buah cabe merah besar--2 ruas jahe--1 ruas kencur--","Panaskan sedikit minyak goreng, tumis bumbu halus, irisan bawang merah dan irisan tomat. Tumis hingga harum dan bawang layu.--Tuangkan sedikit air dan gula merah. Aduk hingga rata.--Tambahkan kecap manis, gula dan garam. Koreksi rasa.--Masukkan tahu dan tempe. Aduk hingga rata dan bumbu meresap. Sajikan.--",tempe,tahu,tempe,tomat,cabai,bawang merah
bali telur tahu tempe,5 butir telur ayam (rebus terlebih dahulu lalu goreng)--1 kotak tahu--1 kotak tempe--2 buah tomat--2 lembar daun jeruk--2 lembar daun salam--1 cm ruas lengkuas--100 ml air--3 sdm kecap manis--Bumbu halus--5 siung bawang merah--3 siung bawang putih--5 buah kemiri--7 biji cabe rawit--5 biji cabe merah besar--1 sdt terasi--secukupnya Garam--secukupnya Gula pasir--secukupnya Penyedap rasa--secukupnya Minyak goreng--Bahan tambahan--Bawang merah goreng--,"Potong tahu dan tempe dgn ketebalan -+1cm lalu goreng setengah matang setalah itu tiriskan--Panaskan wajan dan tambahin sedikit minyak untuk menumis masukkan bumbu halus, lengkuas, daun salam dan daun jeruk tunggu hingga harum--Setelah harum masukkan tahu, tempe dan telur yg sudah di goreng tadi--Tambahkan air, penyedap rasa. Kecap manis, gula dan garam lalu koreksi rasa--Tunggu hingga bumbu meresap dan air nya mulai menyusut lalu matikan api--Siap disajikan dgn tambahan taburan bawang goreng--",tempe,telur,tahu,tempe,tomat,cabai
bitterballen tempe sosis,"300 gr tempe,kukus haluskan--25 gr margarin--4 bh sosis sapi potong dadu kecil--1 bh wortel potong dadu kecil--1 bh bawang putih cincang--2 btg daun bawang potong ""--250 ml susu cair--30 gr keju cheddar parut--40 gr tepung terigu--secukupnya Garam + gula + kaldu bubuk + lada bubuk--Bahan pelapis--50 gr tepung terigu--1 btr telur kocok lepas--100 gr tepung panir--","Panaskan margarin tumis bawang putih smp harum.masukan sosis + wortel.tumis smp berubah warna.--Masukan terigu sedikit""smbl diaduk rata.tuang susu cair.sedikit""sambil di aduk rata.--Masukan tempe + garam + kaldu bubuk + lada bubuk + gula.aduk rata--Tambahkan keju dan daun bawang aduk rata.koreksi rasa,masak smbl sesekali diaduk.hingga adonan mengental dan dpt dibentuk.angkat dinginkan.--Setelah dingin bulat""kan adonan.gulingkan diatas tepung terigu.masukan kedlm kocokan telur.dan gulingkan ke tepung panir smbl ditekan""agar tepung panir menempel rata.--Goreng bola""tempe hingga berwarna kuning kecoklatan.angkat tiriskan sajikan dg saos sambal.--",tempe,tempe,sosis,telur,wortel,bawang putih
bobor kangkung labu siam tempe,"1 ikat kangkung (siangi)--1 buah labu siam (potong sesuai selera)--1/2 papan tempe (potong sesuai selera)--5 siung bawang merah--4 siung bawang putih--1 ruas jari kencur--3 lembar salam--1 cm lengkuas--1 sdt ketumbar bubuk--secukupnya Gula garam--1,5 liter air (kurang lebih)--2 sdm susu bubuk kedelai, seduh dengan setengah gelas air--","Didihkan air.--Iris bawang merah dan bawang putih. Masukkan ke dalam air mendidih bersama salam, kencur, dan ketumbar. Jangan lupa gula garam juga.--Setelah harum bumbu keluar, masukkan tempe, labu siam dan susu bubuk. Masak sampai labu siam setengah empuk, masukkan kangkung dan susu kedelai cair.--Setelah kangkung cukup matang. Koreksi rasa. Angkat. Sajikan.--",tempe,kangkung,labu,tempe,bawang merah,bawang putih
botok jamur tahu udang,1/2 biji kelapa parut--100 grm udang bersih tanpa kepala dan kulit--1 bungkus jamur tiram--2 biji tahu--1 butir telor--1 biji tomat potong dadu--daun pisang secukup nya--Bumbu Halus--2 biji cabe merah besar--10 biji cabe rawit--3 siung bawang putih--3 bawang merah--2 biji kemiri--1 sendok teh ketumbar--sedikit jahe--sedikit kunyit--sedikit lengkuas--sedikit kencur--2 lmbar daun jeruk--garam--gula--msg kalau perlu aku ngk pakai--,Rebus tahu di air mendidih sebentar dan angkat potong dadu.rebus jamur tiram sebentar saja ya angkat celur daun pisang di air rebusan tahu tadi bagi daun pisang layu biar ngk sobek waktu kita pakai--Haluskan bumbu halus. satukan semua bahan kelapa parut tomat tahu udang jamur aduk rata jagan lupa beri garam gula aduk rata koreksi rasa pecahkan telor aduk rata dan bungkus dengan daun pisang tusuk dengan lidi kukus selama 30menit--Sajikan----,udang,udang,jamur,tahu,telur,kelapa
botok jamur udang tahu dan jagung manis,"2 buah jagung manis--2 bks jamur putih--1 buah tahu jombang--1/4 gr udang--1/2 kelapa parut--daun pisang dan tusuk lidi--Bumbu--5 bawang putih dan 7 bawang merah--9 cabe kecil (sesuai selera)--3 cabe besar dan daun jeruk--laos,kunyit, kencur dan garam gula,msko (penyedap)--","Halus kan semua bumbu pakai ulekan bun biar sedap--Masuk kan kelapa parut garam dan gula,msko rata kan, tes rasa--Klau sdh pas,masuk kan udang,tahu, jagung manis dan jamur,ratakan.--Bungkus dengan daun pisang,jadikan beberapa bagian--Lalu kukus selama 45 menit--Selamat mencoba--",udang,jagung,jamur,tahu,udang,kelapa
botok mangga muda udang tahu,6 buah tahu potong kotak kecil--1 ikat daun kemangi--1 ons Udang--1 buah mangga muda iris tipis memanjang--4 buah cabe hijau iris--Bumbu Halus :--4 buah tomat kecil--5 buah cabe merah--10 buah cabe rawit--1 ruas jari lengkuas geprek--1 ruas jari kunyit--2 buah kemiri--5 siung bawang merah--3 siung bawang putih--Bumbu Tambahan :--secukupnya Masako--secukupnya Garam--secukupnya Gula--1 gelas air--,"Haluskan semua bumbu halus--Siapkan wajan dengan sedikit minyak goreng--Masukkan udang goreng hingga 1/2 matang--Masukkan bumbu halus ke dalam wajan, tumis hingga harum--Masukkan mangga, tahu lalu tumis hingga bumbu meresap--Tambahkan 1 gelas air (sesuai selera)--Aduk rata, lalu letakkan daun kemangi di bagian atas--Tutup wajan hingga air sedikit berkurang--Masukkan bumbu tambahan sesuai selera dan test rasa--Siap disajikan 😉--",udang,mangga,udang,tahu,tomat,cabai
breakfast menu garlic bread srumble egg sosis mozarela kw,1 lembar roti tawar--1 sdm mentega--1 siung bawang putih uk kecil--1/2 btng daun seledri--1 bh telur--4 sdm susu cair--2 bh sosis--Secukupnya garam dan lada--Secukupnya keju mozarela (aq pake mozarela KW yg resep nya udh pernah aq share)--,"Cincang halus bawang putih dan seledri, campur dengan mentega, aduk rata--Potong roti, oleskan mentega lalu panggang di teflon--Kocok lepas telur, beri susu, garam dan lada--Masak di teflon dengan api kecil, aduk terus hingga set--Goreng sosis di teflon, balik lalu taburi keju, tutup teflon agar keju meleleh--",telur,roti,telur,sosis,keju,telur
brokoli cah udang,"500 gr udang ukuran kecil--2 bonggol brokoli--1 buah jeruk nipis--1/2 siung bawang bombay, iris--3 siung bawang putih, cincang--2 sdm saos tiram--1 sdm kecap ikan--Secukupnya garam, gula & lada--1/2 sdm maizena, larutkan--200 ml air--","Cuci bersih udang buang kepalanya, beri perasan jeruk nipis diamkan selama 5 menit, bilas dan tiriskan.--Bersihkan brokoli, potong perkuntum, cuci bersih lalu rebus dg air yg diberi sedikit garam selama 2 menit, angkat lalu bilas dg air dingin dan tiriskan.--Tumis bawang putih dan bawang bombay sampai harum lalu masukkan udang, masak sampai udang berubah warna. Kemudian masukkan air masak sampai mendidih.--Masukkan saos tiram, kecap ikan, garam, gula dan lada, aduk rata koreksi rasa yaa.--Setelah itu masukkan brokoli rebus dan larutan maizena. Aduk sebentar lalu angkat dan siap disajikan.--",udang,udang,brokoli,jeruk nipis,bawang bombai,bawang putih
brokoli siram telur,"1/2 bonggol brokoli--1 btr telur--5 bh cabai merah--2 bh bawang putih--1/2 bh bawang bombai--1 sdt tepung maizena (larutkan)--Secukupnya air--Gula garam, kaldu bubuk, ladaku--","Cuci bersih brokoli, siram dengan air panas, rebus sebentar, taburi garam, angkat sisihkan--Tumis duo bawang dan cabai yg sudah di iris"", masukkan telur orak arik sampai hancur, tambahkan Gula Garam, kaldu bubuk, ladaku, tes rasa, terakhir masukkan air maizena--Susun brokoli, kemudian siramkan dengan telur. Selesai--",telur,brokoli,telur,cabai,bawang putih,bawang bombai
brokoli tahu udang lada hitam,"1 bungkus tahu sutra--2 genggam brokoli--1 genggam udang--1 bawang bombay--2 bawang putih--secukupnya cabai rawit--1 sdt maizena--1 sdt lada hitam--Secukupnya kaldu jamur, gula pasir, garam--secukupnya air dan minyak goreng--","Goreng setengah matang tahu sutranya. Tumis irisan bombay dan bawang putih yang dicincang halus. Masukkan irisan cabai rawit.--Masukkan udang sampai berubah warna, baru deh masukkan tahu lalu tambahkan air.--Tuang larutan maizena, saus tiram, garam, lada hitam, kaldu jamur, gula. Jangan sering diaduk supaya tahu nggak mudah hancur. Terakhir masukkan brokoli. Jangan lupa cek rasanya ya. Selesai!--",udang,tahu,brokoli,udang,bawang bombai,bawang putih
brokoli telur tepung maizena,1 buah brokoli yg ukurang sedang--2 siung bawang putih (iris)--3 siung bawang merang (iris)--2 cabai merah (iris)--Garam & lada (secukupnya)--Air (secukupnya)--1 sdt tepung maizena (dilarutkan dengan air)--1 sdm saori--1 butir telur--,"Masukan brokoli ke dalam panci yang berisi air mendidih, taburi garam, aduk2 lalu diamkan kurang lebih 5-10 menit. Saring lalu di tata di atas piring.--Lalu tumis bahan2 yang sudah di iris (bawang putih.merah dan cabai)--Masukan telur, aduk2, masukan saori,air dan terakhir masukan larutan maizena, aduk sampai mengental.--Tuang ke dalam piring yang sudah terbentuk lingkarang brokoli.--",telur,brokoli,telur,cabai,bawang merah,bawang putih
buncis cah telur,20 bh buncis iris tipis2--4 siung bawang putih cincang--1/4 bawang Bombay iris halus--2 bh cabe merah iris halus--5 bh bakso iris tipis / bs ganti dgn sosis--secukupnya Kaldu Ayam--secukupnya Air panas--1-2 btr telur--,"Tunis bawang putih, bawang Bombay, cabe merah sampai wangi Masukkan bakso atau sosis oseng2.--Masukkan bunci yang sudah di iris, oseng sampai berubah warns, Masukkan sedikit air panas biar kan sampai agak matang, Masukkan bumbu penyedap Dan tes rasa.--Terakhir, tepikan buncisnya Dan Masukkan Telurnya, oseng2 Telur kemudian balurkan dengan buncisnya.--Selamat mencoba :)--",telur,buncis,telur,cabai,bawang bombai,bakso
buncis tempe,buncis muda--Tempe--1 cm jahe--2 siung bawang merah--3 siung bawang putih--6 biji cabe merah panjang--1 sdt garam--,"Langkah pertama, tempe dipotong korek api dan digoreng, buncis di siamin dan dipotong sesuai selera.--Bumbu dihaluskan yaitu jahe, bawang merah, putih dan cabe panjang--Panaskan minyak dan tumis bumbu halus, tunggu sampai harum kemudian masukin buncis. Dan masak sampe buncis setengah matang.--Kemudian masukin tempe yang udah digoreng terlebih dahulu, selanjutnya diaduk dan masukin garam.--Rasain jgn lupa yah. Buncis tempe siap disajikan 👍--",tempe,buncis,tempe,cabai,bawang merah,bawang putih
buncis brokoli udang wortel,1/4 kg buncis--2 buah wortel--1 buah brokoli kecil--1/4 udang sedang--2 siung bawang putih--1 siung bawang bombai kecil--1 tangkai daun bawang--1/4 sendok teh merica bubuk--Minyak secukupnya untuk menumis--1/2 sendok teh gula putih--,Panaskan minyak tumis bawang putih sampai berubah warna masukan bawang bombai sampai harum--Masukan semua sayur yg telah dipotong sesuai selera--Masukan garam merica dan gula putih--Sambil sembari d aduk sampai matang angkat.sajikan--,udang,buncis,wortel,brokoli,udang,bawang putih
kubis wortel udang,"5 ekor udang--2 wortel ukuran sedang--1 kol kecil / 1/2 kol besar--1/2 bawang bombay--3 bawang putih--1 sdt tepung maizena--secukupnya air--secukupnya cabai merah (bisa diskip)--secukupnya gula, garam, penyedap rasa organik, lada bubuk--1 sdm saos tiram--secukupnya minyak goreng--","Tumis bawang bombay --yang dipotong dadu atau memanjang-- dan bawang putih yang dicincang halus sampai harum. Lalu masukkan cabai.--Masukkan udang yang udah dikupas dan dibersihkan. Setelah berubah warna, masukan wortel dan kol. Tuang air yang dicampur tepung maizena.--Kasih garam dikit aja, gula, penyedap rasa dan saos tiram. Aduk merata sambil cek rasa. Tunggu sampai semua empuk dan selesai!--",udang,udang,wortel,kubis,bawang bombai,bawang putih
cah brokoli udang,"1 bh brokoli--1 bh wortel--10 ekor udang--2 siung bawang putih--1/2 bh bawang bombay--2 sdm saus tiram--1/2 sdt garam, gula pasir, kaldu bubuk--","Rebus brokoli dan wortel setengah matang. Lalu tiriskan.--Geprek bawang putih dan potong bawang bombay.--Panaskan minyak, tumis bawang putih dan bawang bombay sampai harum.--Kemudian masukkan udang segar.--Tambahkan saus tiram, aduk rata.--Masukkan brokoli dan wortel.--Kemudian bumbui dengan garam, gula pasir dan kaldu bubuk. Aduk rata.--Setelah tercampur rata, koreksi rasa. Cah brokoli udang siap dihidangkan. 😋😋😋--",udang,brokoli,wortel,udang,bawang putih,bawang bombai
cah buncis udang,"20 batang buncis,potong serong--250 gram udang,siangi--15 buah cabe rawit,potong serong--6 siung bawang merah,iris tipis--4 siung bawang putih,iris tipis--3 sdm minyak goreng--1 sdm saos tiram--1 sdt saos rajarasa--100 ml air--Secukupnya garam dan gula pasir--","Panaskan minyak goreng,tumis cabe dan duo bawang hingga harum--Masukkan udang,aduk rata.--Kemudian masukkan air,garam dan gula pasir,masak hingga udang berubah warna--Masukkan buncis,saos rajarasa dan saos tiram,aduk2. Masak hingga buncis setengah layu. Tes rasa,matikan api.--Sajikan--",udang,buncis,udang,cabai,bawang merah,bawang putih
