NAMA_RESEP,BAHAN,CARA_MEMBUAT,DURASI,PORSI,LINK,RATING,KALORI,IMG_LINK
Resep Sup Bayam Asparagus Ala SajikuÂ®,"1 ikat Bayam
5 btg Asparagus
100 gr Ayam fillet
100 gr Jagung pipil
1 bks Sajiku® Bumbu Sayur Sop
1 btr Telur kocok
2 sdm Larutan maizena
600 ml Air
2 sdm Minyak goreng1 ikat Bayam5 btg Asparagus100 gr Ayam fillet100 gr Jagung pipil1 bks Sajiku® Bumbu Sayur Sop1 btr Telur kocok2 sdm Larutan maizena600 ml Air2 sdm Minyak goreng","Potong asparagus dan potong memanjang ayam fillet, sisihkan.Panaskan minyak goreng , tumis ayam dan jagung pipil hingga ayam berubah warna.Masukkan air, asparagus, dan Sajiku® Bumbu Sayur Sop. Aduk rata dan masak hingga mendidih.Tambahkan larutan maizena dan aduk rata. Masukkan bayam dan telur kocok, aduk rata, masak hingga matang. Angkat dan sajikan.",Waktu Memasak 60 menit,4 Porsi,https://www.dapurumami.com/resep/sup-bayam-asparagus-ala-sajiku-8k3MH,4.75,"896
Kkal","https://du-static-assets.storage.googleapis.com/recipe/8k3MH/Sup%20Bayam%20
Asparagus-Image_940x576px.jpg"
Resep Bakwan Makaroni Bayam ala SajikuÂ®,"70 gr Makaroni Rebus
20 gr Bayam
1 bks Sajiku® Tepung Bumbu Bakwan Crispy 90gr
130 ml Air600 ml Minyak Goreng70 gr Makaroni Rebus20 gr Bayam1 bks Sajiku® Tepung Bumbu Bakwan Crispy 90gr130 ml Air600 ml Minyak Goreng","Iris bayam, sisihkanCampurkan Sajiku® Tepung Bumbu Bakwan Crispy dengan air, aduk rataMasukkan bayam dan macaroni rebusPanaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan",Waktu Memasak 30 menit,3 Porsi,https://www.dapurumami.com/resep/bakwan-makaroni-bayam-ala-sajiku,5.0,"1079
Kkal","https://du-static-assets.storage.googleapis.com/recipe/QyQp2/FInal%20Plating%20
logo.jpg"
Resep Nugget Bayam Jamur SajikuÂ®,"- 20 gr Bayam Cincang
- 2 bh Jamur Kuping Rebus (20 gr)
- 50 gr Wortel Parut
- 1 btr Telur- 50 gr Tepung Roti
- 1 bks Sajiku® Tepung Bakwan Crispy 90gr
- 700 ml Minyak Goreng
- 130 ml Air- 20 gr Bayam Cincang- 2 bh Jamur Kuping Rebus (20 gr)- 50 gr Wortel Parut- 1 btr Telur- 50 gr Tepung Roti- 1 bks Sajiku® Tepung Bakwan Crispy 90gr- 700 ml Minyak Goreng- 130 ml Air","Iris jamur kuping, sisihkan.Masukkan wortel, jamur, bayam, air dan Sajiku® Tepung Bakwan Crispy, aduk rata, kukus selama 15 menit, angkat, potong bentuk kotak, sisihkan.Kocok telur, celupkan nugget ke dalam telur, gulingkan ke dalam tepung roti,Panaskan minyak goreng, masukkan nugget, goreng hingga matang. Angkat, sajikan.",Waktu Memasak 60 menit,8 Porsi,https://www.dapurumami.com/resep/nugget-bayam-jamur-sajiku-BhUea,4.65,"669
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Nugget%20Bayam%20Jamur%20Sajiku%25C2%25AE-nuaxLT1658740236.png
Resep Bayam Panggang,"- ½ ikat Bayam
- 2 bh Sosis Ayam
- 1 bh Kentang Rebus
- 2 sdm Jagung Manis
- 2 btr Telur
- 20 gr Tepung Roti
- ½ bks Masako® Rasa Ayam 11 gr
- 50 ml Susu Cair
- 150 ml Air- ½ ikat Bayam- 2 bh Sosis Ayam- 1 bh Kentang Rebus- 2 sdm Jagung Manis- 2 btr Telur- 20 gr Tepung Roti- ½ bks Masako® Rasa Ayam 11 gr- 50 ml Susu Cair- 150 ml Air","Iris sosis ayam dan bayam, cincang kentang, sisihkan.Campur bayam, sosis ayam, kentang, susu cair, jagung manis, 2 sdm tepung roti, ½ bungkus Masako® Rasa Ayam, aduk rata.Masukkan adonan ke dalam wadah tahan panas, taburi dengan sisa tepung roti secukupnya.Masukkan air ke dalam wajan, masukkan wadah adonan, panggang hingga matang selama 20 menit.",Waktu Memasak 40 menit,2 Porsi,https://www.dapurumami.com/resep/bayam-panggang-wPwg3,5.0,"579
Kkal",https://du-static-assets.storage.googleapis.com/recipe/wPwg3/1481905134.png
Resep Sandwich Bayam MayumiÂ®Â®,"- 8 lbr Roti Tawar
- 1 ikat Bayam
- 150 gr Keju Leleh Parut
- 1 bks Mayumi® Pedas- 8 lbr Roti Tawar- 1 ikat Bayam- 150 gr Keju Leleh Parut- 1 bks Mayumi® Pedas","Iris bayam, sisihkan.Buat adonan: campurkan bayam, keju, dan Mayumi® Pedas.Oleskan roti tawar dengan adonan, tutup dengan roti.Panggang kedua sisi roti yang telah diisi adonan hingga kecoklatan",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/sandwich-bayam-mayumi-C1XE2,4.85,"1423
Kkal",https://du-static-assets.storage.googleapis.com/recipe/C1XE2/1463415295.jpg
Resep Bayam Mentega,"- 2 ikat daun bayam
- 100 gr udang segar, kupas
- 2 sdm mentega
- 3 siung bawang putih, cincang
- 1/4 sdt merica hitam bubuk
- 1 sdt air jeruk lemon
- 2 sdm air matang
- 1/2 bks Masako® Rasa Ayam 11 gr- 2 ikat daun bayam- 100 gr udang segar, kupas- 2 sdm mentega- 3 siung bawang putih, cincang- 1/4 sdt merica hitam bubuk- 1 sdt air jeruk lemon- 2 sdm air matang- 1/2 bks Masako® Rasa Ayam 11 gr","Panaskan mentega, tumis bawang putih hingga harum.Masukkan udang, masak hingga berubah warna.Tambahkan air, air jeruk lemon, dan merica, didihkan.Masukkan bayam dan Masako® Rasa Ayam, masak hingga layu, angkat, dan sajikan.",Waktu Memasak 20 menit,4 Porsi,https://www.dapurumami.com/resep/bayam-mentega-VOQr7,4.95,"286
Kkal",https://du-static-assets.storage.googleapis.com/recipe/VOQr7/220.jpg
Resep Martabak Mie Bayam,"- 100 g Mie telur
- 150 g Bayam
- 3 btr Telur
- 1 btg Daun bawang
- 1 sdt Garam
- 1 sdt Merica
- 2 sdm Minyak goreng
- 100 g Mayumi®
- 50 g Abon sapi- 100 g Mie telur- 150 g Bayam- 3 btr Telur- 1 btg Daun bawang- 1 sdt Garam- 1 sdt Merica- 2 sdm Minyak goreng- 100 g Mayumi®- 50 g Abon sapi","Iris iris daun bawang. Potong-potong bayam.Rebus mie hingga matang, tiriskan.Campur mie, telur, garam, merica, daun bawang, dan bayam, aduk rata.Goreng adonan hingga kedua sisi matang, angkat.Oleskan Mayumi® di atas martabak mie, ratakan.Taburkan abon sapi, potong menjadi 8 bagian, sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/martabak-mie-bayam-FkbQb,4.95,"394
Kkal",https://du-static-assets.storage.googleapis.com/recipe/FkbQb/173.jpg
Resep Perkedel Bayam,"- 500 gr Kentang
- 100 gr Daging sapi giling
- 200 gr Bayam rebus
- 5 lbr Daun jeruk
- 4 btr Telur (2 untuk adonan, 2 untuk balutan)
- 1 bks Masako® Rasa Sapi 11 gr
- 1 L Minyak goreng- 500 gr Kentang- 100 gr Daging sapi giling- 200 gr Bayam rebus- 5 lbr Daun jeruk- 4 btr Telur (2 untuk adonan, 2 untuk balutan)- 1 bks Masako® Rasa Sapi 11 gr- 1 L Minyak goreng","Kocok Telur. Cincang daun jeruk. Potong potong bayam dan kentang.Goreng kentang hingga matang, angkat, tiriskan, haluskan.Tumis daging sapi giling dan daun jeruk hingga matang.Campur kentang halus dengan tumisan daging, bayam, telur, dan Masako® Rasa Sapi, aduk rata.Bulat dan pipihkan adonan.Balur perkedel ke telur, goreng hingga kuning keemasan, angkat, tiriskan, dan sajikan.",Waktu Memasak 40 menit,6 Porsi,https://www.dapurumami.com/resep/perkedel-bayam-8G8SV,4.95,"181
Kkal",https://du-static-assets.storage.googleapis.com/recipe/8G8SV/132.jpg
Resep Mie Kangkung Ala Sajiku®,"100 gr Mie kuning besar rebus1 ikat Kangkung
100 gr Fillet ayam
1 bks Sajiku® Bumbu Nasi Goreng Rasa Ayam
6 bh Jamur kancing
50 gr Tauge
500 ml Air
3 sdm Minyak goreng
2 sdm Kecap asin
Bawang goreng
Jeruk limau
Sambal100 gr Mie kuning besar rebus1 ikat Kangkung100 gr Fillet ayam1 bks Sajiku® Bumbu Nasi Goreng Rasa Ayam6 bh Jamur kancing50 gr Tauge500 ml Air3 sdm Minyak goreng2 sdm Kecap asinBawang gorengJeruk limauSambal","Iris-iris jamur dan ayam, sishkan. Masukkan ayam kedalam wadah, beri kecap asin, aduk rata, sisihkan.Panaskan minyak goreng, masukkan ayam dan jamur, tumis hingga berubah warna.Tambahkan air dan Sajiku® Bumbu Nasi Goreng Rasa Ayam , masak hingga mendidih.Masukkan mie kuning, kangkung, dan tauge, aduk sebentar, angkat dan sajikan.",Waktu Memasak 60 menit,2 Porsi,https://www.dapurumami.com/resep/mie-kangkung-ala-sajiku-6gU0X,4.95,"587
Kkal","https://du-static-assets.storage.googleapis.com/recipe/6gU0X/20200929-Mie%20
Kangkung_940x576px.jpg"
Resep Tahu Isi Kangkung Spesial Ala Masako®,"20 bh tahu coklat, buang isi
250 g tepung terigu
300 ml air
1 ½ bungkus Masako Rasa Ayam
350 g kangkung, rebus dan cincang
225 g daging ayam giling
150 g wortel, cincang
5 bh bawang putih, cincang
2 sdt lada20 bh tahu coklat, buang isi250 g tepung terigu300 ml air1 ½ bungkus Masako Rasa Ayam350 g kangkung, rebus dan cincang225 g daging ayam giling150 g wortel, cincang5 bh bawang putih, cincang2 sdt lada","Cincang kangkung rebus, sisihkan. Buat adonan tepung : campur air, tepung terigu, dan 1 ½ Masako Rasa Ayam, aduk rata. sisihkanCampur bahan isian : daging ayam, kangkung, wortel, bawang putih, lada dan 1 ½ bungkus Masako Rasa Ayam, aduk rata.Isi tahu dengan bahan isian lalu celupkan ke dalam adonan tepung.Panaskan minyak goreng, masukkan tahu isi.Goreng tahu isi hingga kuning keemasan. Angkat dan sajikan.",Waktu Memasak 30 menit,20 Porsi,https://www.dapurumami.com/resep/tahu-isi-kangkung-spesial-ala-masako-ErbxQ,4.95,"2180
Kkal",https://du-static-assets.storage.googleapis.com/recipe/ErbxQ/web06.jpg
Resep Kroket Kangkung ala Masako®,"300 gr Kentang Kukus Tumbuk
100 gr Kangkung
20 gr Wortel
50 gr Ayam Cincang
3 btr Telur
¾ bks Masako® Rasa Ayam 11 gr
100 gr Tepung Roti
100 gr Tepung Terigu
500 ml Minyak Goreng300 gr Kentang Kukus Tumbuk100 gr Kangkung20 gr Wortel50 gr Ayam Cincang3 btr Telur¾ bks Masako® Rasa Ayam 11 gr100 gr Tepung Roti100 gr Tepung Terigu500 ml Minyak Goreng","Iris kangkung, potong wortel bentuk dadu kecil, sisihkan.Panaskan 2 sdm makan minyak, tumis wortel, daging ayam cincang dan kangkung. Masak hingga layu dan ayam matang. Angkat, sisihkan.Siapkan wadah, masukkan tumisan sayur, kentang tumbuk, 2 btr telur dan ¾ bks Masako® Rasa Ayam 11 gr. Aduk rata, bagi menjadi 12 bagian, bentuk oval.Gulingkan kroket diatas tepung terigu, pindahkan kedalam 1 btr telur kocok, lalu gulingkan ke tepung roti. Sisihkan.Panaskan minyak, goreng kroket hingga matang, angkat, dan sajikan",Waktu Memasak 30 menit,12 Porsi,https://www.dapurumami.com/resep/kroket-kangkung-ala-masako-tZSXo,4.95,"1359
Kkal",https://www.youtube.com/embed/EF6vnDNoCBE
Resep Kangkung Bunga Pepaya,"- 2 sdm Bunga Pepaya- 150 gr Kangkung
- 3 siung Bawang Merah
- 2 siung Bawang Putih
- 2 bh Cabai Rawit
- 1 bks SAORI® Saus Tiram
- 3 sdm Minyak Goreng
- 50 ml Air- 2 sdm Bunga Pepaya- 150 gr Kangkung- 3 siung Bawang Merah- 2 siung Bawang Putih- 2 bh Cabai Rawit- 1 bks SAORI® Saus Tiram- 3 sdm Minyak Goreng- 50 ml Air","Rebus bunga pepaya dengan air garam selama 15 menit, tiriskan.Iris cabai, bawang merah, bawang putih, potong kangkung, sisihkan.Panaskan minyak goreng, masukkan bawang merah, bawang puth, cabai merah, aduk hingga harum. Tambahkan air, bunga pepaya, kangkung dan SAORI® Saos Tiram, aduk rata.",Waktu Memasak 30 menit,2 Porsi,https://www.dapurumami.com/resep/kangkung-bunga-pepaya-4WUuo,5.0,"89
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Kangkung%20Bunga%20Pepaya-KRRYC01658992417.png
Resep Bakwan Kangkung Sajiku®,"- 40 grKangkung - 50 gr Jagung Manis
- 1 bks Sajiku® Tepung Bumbu Bakwan Crispy90 gr
- 700 ml Minyak Goreng
- 130 ml Air
Bahan Pelengkap : - Cabe Rawit- 40 grKangkung - 50 gr Jagung Manis- 1 bks Sajiku® Tepung Bumbu Bakwan Crispy90 gr- 700 ml Minyak Goreng- 130 ml AirBahan Pelengkap : - Cabe Rawit","Siapkan wadah,, masukkan Sajiku® Tepung Bumbu Bakwan Crispy dan air, aduk rata.Masukkan kangkung dan jagung manis, aduk rata.Panaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan.Angkat dan sajikan.",Waktu Memasak 40 menit,8 Porsi,https://www.dapurumami.com/resep/bakwan-kangkung-sajiku-kAxlh,4.9,"760
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Bakwan%20Kangkung%20Sajiku-Y4ELdi1658993701.png
Resep Tumis Kangkung,"- 3 ikat kangkung, buang akar, potong-potong
- 10 btr telur puyuh rebus
- 3 bh cabai merah, iris serong
- 1 bks SAORI® Saus Tiram
- 75 ml air
- 3 sdm minyak- 3 ikat kangkung, buang akar, potong-potong- 10 btr telur puyuh rebus- 3 bh cabai merah, iris serong- 1 bks SAORI® Saus Tiram- 75 ml air- 3 sdm minyak","Potong potong cabai dan kangkung.Tumis cabai hingga harum.Masukkan kangkung, telur puyuh, dan air.Tambahkan SAORI® Saus Tiram, aduk rata, masak hingga matang, angkat dan sajikan.",Waktu Memasak 15 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-kangkung-cdKOs,5.0,"459
Kkal",https://du-static-assets.storage.googleapis.com/recipe/cdKOs/90.jpg
Resep Plecing Kangkung,"- 2 ikat kangkung, potong-potong, rebus
- 75 g tauge, seduh dengan air panas
- 6 sdm minyak goreng, panaskan
- 1 bh jeruk limau
- 1 sdt garam
- AJI-NO-MOTO® secukupnya
Bumbu halus :
- 5 bh cabai merah besar
- 3 siung bawang merah
- 3 bh cabai rawit
- 5 btr kemiri, sangrai
- 2 sdm terasi, bakar- 2 ikat kangkung, potong-potong, rebus- 75 g tauge, seduh dengan air panas- 6 sdm minyak goreng, panaskan- 1 bh jeruk limau- 1 sdt garam- AJI-NO-MOTO® secukupnyaBumbu halus :- 5 bh cabai merah besar- 3 siung bawang merah- 3 bh cabai rawit- 5 btr kemiri, sangrai- 2 sdm terasi, bakar","Haluskan cabai merah, cabai rawit, bawang merah, kemiri, dan terasi dengan air.Rebus kangkung hingga layu, angkat dan tiriskan. Seduh tauge, tiriskan. Sisihkan.Campur bumbu halus dengan garam, air jeruk, dan AJI-NO-MOTO®, sisihkan. Panaskan minyak goreng.Tuangkan minyak ke campuran bumbu, aduk rata. Siramkan bumbu ke atas kangkung dan tauge. Sajikan.",Waktu Memasak 10 menit,5 Porsi,https://www.dapurumami.com/resep/plecing-kangkung-wFmTM,5.0,"35
Kkal",https://du-static-assets.storage.googleapis.com/recipe/wFmTM/53.jpg
Resep Soun Kuah Kangkung,"- 150 gr soun, rendam dalam air panas
- 200 gr daging ayam cincang
- 60 gr daun kangkung darat
- 4 siung bawang putih, iris, goreng, cincang kasar
- 1 1/2 sdt garam
- 1/2 sdt gula
- Merica secukupnya
- 3 sdm minyak goreng
- 1 bks Masako® Rasa Ayam 11 gr
Pelengkap :
- Cabai rawit merah, iris
- Bawang putih goreng- 150 gr soun, rendam dalam air panas- 200 gr daging ayam cincang- 60 gr daun kangkung darat- 4 siung bawang putih, iris, goreng, cincang kasar- 1 1/2 sdt garam- 1/2 sdt gula- Merica secukupnya- 3 sdm minyak goreng- 1 bks Masako® Rasa Ayam 11 grPelengkap :- Cabai rawit merah, iris- Bawang putih goreng","Tumis bawang putih goreng. Tambahkan ayam cincang. Bubuhi Masako® Rasa Ayam, masak hingga mendidih.Masukkan kangkung, garam, gula, dan merica. Masak sebentar. Angkat.Atur soun dalam mangkuk saji. Tuangi kuah. Sajikan.",Waktu Memasak 30 menit,5 Porsi,https://www.dapurumami.com/resep/soun-kuah-kangkung-Mesri,5.0,"1135
Kkal",https://du-static-assets.storage.googleapis.com/recipe/Mesri/soun-kuah-kangkung.jpg
