NAMA_RESEP,BAHAN,CARA_MEMBUAT,Jenis_Resep
Resep Cah Jamur Wortel SAORI®,"100 gr jamur, iris
100 gr wortel, iris
100 gr Filet Dada Ayam, iris ½
3 siung bawang putih
100 gr kacang hijau
2 buah cabai merah keriting, iris
250 ml air
½ sdt Tepung maizena, larutkan dalam 50ml air
¼ sdt merica bubuk
¼ sdt gula pasir½ sdt Garam
1 sachet SAORI® Saus Tiram
1 butir telur ayam, kocok lepas
Minyak sayur secukupnya100 gr jamur, iris100 gr wortel, iris100 gr Filet Dada Ayam, iris ½3 siung bawang putih100 gr kacang hijau2 buah cabai merah keriting, iris250 ml air½ sdt Tepung maizena, larutkan dalam 50ml air¼ sdt merica bubuk¼ sdt gula pasir½ sdt Garam1 sachet SAORI® Saus Tiram1 butir telur ayam, kocok lepasMinyak sayur secukupnya","Langkah 1Tumis bawang bombay, bawang putih, dan cabai keriting hingga harum hingga berubah warnaLangkah 2Lalu tambahkan jamur dan wortel dengan tambahan air, aduk rataLangkah 3Masukkan telur kocok, aduk rataLangkah 4Tambahkan SAORI® Saus Tiram, merica, gula pasir dan garam kental dengan tambahan larutan maizena, aduk hingga tercampur rataLangkah 5Angkat dan sajikan selagi panas",buah
Resep Salad Wortel,"- 2 bh wortel, kupas, parut
- 2 sdm kismis
- 2 sdm air jeruk nipis
- 1 sdm gula
- 1/2 sdm garam
- 1/4 sdm AJI-NO-MOTO®
- 2 sdm minyak goreng
- Daun lettuce secukupnya- 2 bh wortel, kupas, parut- 2 sdm kismis- 2 sdm air jeruk nipis- 1 sdm gula- 1/2 sdm garam- 1/4 sdm AJI-NO-MOTO®- 2 sdm minyak goreng- Daun lettuce secukupnya",Langkah 1Peras wortel parut.Langkah 2Campur semua bahan.Langkah 3Aduk hingga rata. Sajikan dengan daun lettuce.,buah
Resep Cah Daging Paprika,"- 300 gr Daging sapi has dalam, potong tipis
- 4 siung Bawang putih, haluskan
- 1 sdm Lada hitam, tumbuk kasar
- 3 sdm Minyak goreng
- 1 bh Paprika hijau, potong kotak
- 1 gelas Air
- 1/2 sdm Tepung maizena, larutkan dengan 5 sdm air
Bumbu Perendam :
- 2 sdm Minyak wijen
- 2 sdm Kecap asin
- 2 sdm Kecap inggris- 2 sdm Kecap manis
- 3 sdm SAORI® Saus Tiram
Resep oleh :Silfia Pratiwi- 300 gr Daging sapi has dalam, potong tipis- 4 siung Bawang putih, haluskan- 1 sdm Lada hitam, tumbuk kasar- 3 sdm Minyak goreng- 1 bh Paprika hijau, potong kotak- 1 gelas Air- 1/2 sdm Tepung maizena, larutkan dengan 5 sdm airBumbu Perendam :- 2 sdm Minyak wijen- 2 sdm Kecap asin- 2 sdm Kecap inggris- 2 sdm Kecap manis- 3 sdm SAORI® Saus TiramResep oleh :Silfia Pratiwi","Langkah 1Campurkan daging sapi, lada hitam, bawang putih halus dan bumbu perendam. Diamkan +/-30 menitLangkah 2Panaskan minyak goreng, masukan daging dan SAORI® Saus Tiram. Masak hingga berubah warna.Langkah 3Tambahkan 1 gelas air, masak hingga daging matang dan kuah menyusut.Langkah 4Masukan paprika dan larutan maizena, aduk rata. Angkat dan sajikan.",buah
Resep Udang Masak Paprika,"- 300 gr udang pancet ukuran besar
- 2 sdm minyak goreng untuk menumis
- 1/2 siung bawang bombay, cincang kasar
- 3 siung bawang putih, iris tipis
- 20 btr telur puyuh, rebus, kupas kulitnya
- 1/2 bh paprika hijau, iris tipis
- 1/2 bh paprika kuning, iris tipis
- 2 sdm kecap manis
- 1 1/2 sdm kecap asin
- 300 ml air
- 1/2 sdt gula pasir
- 1 sdt lada hitam
- Masako® Rasa Ayam secukupnya- 300 gr udang pancet ukuran besar- 2 sdm minyak goreng untuk menumis- 1/2 siung bawang bombay, cincang kasar- 3 siung bawang putih, iris tipis- 20 btr telur puyuh, rebus, kupas kulitnya- 1/2 bh paprika hijau, iris tipis- 1/2 bh paprika kuning, iris tipis- 2 sdm kecap manis- 1 1/2 sdm kecap asin- 300 ml air- 1/2 sdt gula pasir- 1 sdt lada hitam- Masako® Rasa Ayam secukupnya","Langkah 1Bersihkan udang, kupas kulitnya, sisakan bagian buntut, belah punggungnya jangan sampai putus, lalu sisihkan.Langkah 2Tumis bawang bombay dan bawang putih hingga harum. Masukkan udang, masak hingga berubah warna, lalu masukkan telur puyuh, aduk rata.Langkah 3Masukkan paprika hijau dan paprika kuning, campur jadi satu.Langkah 4Tambahkan kecap manis, kecap asin, air, gula, lada hitam dan Masako® Rasa Ayam, aduk hingga rata. Masak sampai udang matang dan air berkurang.",buah
Resep Sukiyaki Masak Paprika,"- 2 sdm minyak goreng untuk menumis
- 1 1/2 siung bawang bombay, cincang kasar
- 3 siung bawang putih, iris tipis
- 300 gr sukiyaki
- 25 btr telur puyuh, rebus dan kupas kulitnya
- 1 1/2 bh paprika hijau, iris tipis
- 1/2 bh paprika kuning, iris tipis
- 2 sdm kecap manis
- 1 sdt lada hitam, memarkan
- 1 1/2 sdm kecap asin
- 1 sdm saus tiram
- Masako® Rasa Sapi secukupnya- 2 sdm minyak goreng untuk menumis- 1 1/2 siung bawang bombay, cincang kasar- 3 siung bawang putih, iris tipis- 300 gr sukiyaki- 25 btr telur puyuh, rebus dan kupas kulitnya- 1 1/2 bh paprika hijau, iris tipis- 1/2 bh paprika kuning, iris tipis- 2 sdm kecap manis- 1 sdt lada hitam, memarkan- 1 1/2 sdm kecap asin- 1 sdm saus tiram- Masako® Rasa Sapi secukupnya","Langkah 1Tumis bawang bombay dan bawang putih hingga harum. Kemudian masukkan daging sukiyaki, masak hingga berubah warna.Langkah 2Masukkan telur puyuh, paprika hijau dan paprika kuning, masak sambil diaduk.Langkah 3Tambahkan kecap manis, lada hitam, kecap asin, air, gula, saus tiram dan Masako® Rasa Sapi. Aduk agar bumbu tercampur rata.Langkah 4Masak hingga air agak berkurang (habis) dan meresap.",buah
Resep Bebek Goreng Sambal Mangga ala Sajiku®,"1 kg Bebek1 bks Sajiku® Bumbu Ayam Goreng1,5 ltr Air2 lbr Daun Jeruk600 ml Minyak GorengBahan Sambal :4 bh Cabai Rawit4 siung Bawang Merah2 siung Bawang Putih½ bh Tomat½ sdt Terasi¼ sdt AJI-NO-MOTO®½ sdt Garam1 sdm Gula Merah1 sdm Air Perasan Jeruk Limo100 gr Irisan Mangga Muda1 kg Bebek1 bks Sajiku® Bumbu Ayam Goreng1,5 ltr Air2 lbr Daun Jeruk600 ml Minyak GorengBahan Sambal :4 bh Cabai Rawit4 siung Bawang Merah2 siung Bawang Putih½ bh Tomat½ sdt Terasi¼ sdt AJI-NO-MOTO®½ sdt Garam1 sdm Gula Merah1 sdm Air Perasan Jeruk Limo100 gr Irisan Mangga Muda","Langkah 1Panaskan air, masukkan potongan bebek, daun jeruk dan 1 bks Sajiku® Bumbu Ayam Goreng, masak hingga air tinggal sedikit dan bebek empuk, angkat, tiriskan.Langkah 2Panaskan minyak, goreng bebek hingga kuning kecoklatan, angkat sisihkan.Langkah 3Haluskan cabai rawit, bawang merah, bawang putih, tomat, terasi, hingga setengah halus, sisihkan.Langkah 4Panaskan 2 sendok makan minyak, masukkan sambal yang sudah dihaluskan, AJI-NO-MOTO®, garam, dan gula merah, tumis hingga matang. Matikan api, masukkan irisan mangga dan perasan jeruk limo, aduk rata. Sajikan bebek goreng bersama sambal manga.",buah
Resep Kerang Teriyaki Sambal Mangga,"- 250 g kerang dara
- 100 g mangga muda
- 3 siung bawang putih
- 3 siung bawang merah
- 2 bh cabai merah
- 3 bh cabai rawit
- 1 bks SAORI® Saus Teriyaki
- 3 sdm minyak goreng- 250 g kerang dara- 100 g mangga muda- 3 siung bawang putih- 3 siung bawang merah- 2 bh cabai merah- 3 bh cabai rawit- 1 bks SAORI® Saus Teriyaki- 3 sdm minyak goreng","Langkah 1Iris iris bawang merah, bawang putih, & cabai rawit. Iris serong cabai merah, potong mangga ukuran korek api, sisihkan.Langkah 2Tumis bawang merah, bawang putih, cabai merah, cabai rawit, & kerang, aduk rata.Langkah 3Tambahkan SAORI® Saus Teriyaki, aduk rata.Langkah 4Masukkan irisan mangga, masak hingga matang, sajikan.",buah
Resep Perkedel Jagung ala Masako®,"2bh Jagung manis (pipil)
4 siung Bawang putih
4 siung Bawang merah
1 ruas Kencur
200g Tepung bumbu
2sdt Masako® Rasa Ayam
2btr Telur
2bh Cabai merah besar
3btg Daun bawang2bh Jagung manis (pipil)4 siung Bawang putih4 siung Bawang merah1 ruas Kencur200g Tepung bumbu2sdt Masako® Rasa Ayam2btr Telur2bh Cabai merah besar3btg Daun bawang","Langkah 1Haluskan jagung pipil, bawang putih dan bawang merah.Langkah 2Tambahkan Masako® Rasa Ayam, tepung terigu, telur, cabai merah, dan daung bawang, aduk rata.Langkah 3Bentuk adonan, goreng hinggu cokelat keemasan, angkat dan sajikan.",buah
Resep Ayam Bakar Salsa Jagung,"Bahan Marinasi
4 potong filet dada ayam, tanpa kulit
5 sdm kecap asin
5 cm jahe, parut
4 siung bawang putih, cincang halus
4 sdm minyak
2 sdm paprika bubuk
1 buah jeruk nipis, ambil airnya
½ sdt AJI-NO-MOTO®
Bahan Salsa
50 g jagung manis pipil, rebus
50 g jagung manis pipil, rebus
4 buah cabai rawit hijau, iris halus
3 batang daun ketumbar, iris halus
2 buah tomat merah, buang biji, potong dadu ½ cm
1 buah avokad, potong dadu 1 cm
2 buah jeruk nipis, ambil airnya
2 sdt gula pasir
¼ sdt jintan bubuk
¼ sdt AJI-NO-MOTO®
Bahan Pelengkap
Nasi dengan mixed seeds
Grilled vegetables (wortel, brokoli, paprika merah, paprika kuning)Bahan Marinasi4 potong filet dada ayam, tanpa kulit5 sdm kecap asin5 cm jahe, parut4 siung bawang putih, cincang halus4 sdm minyak2 sdm paprika bubuk1 buah jeruk nipis, ambil airnya½ sdt AJI-NO-MOTO®Bahan Salsa50 g jagung manis pipil, rebus50 g jagung manis pipil, rebus4 buah cabai rawit hijau, iris halus3 batang daun ketumbar, iris halus2 buah tomat merah, buang biji, potong dadu ½ cm1 buah avokad, potong dadu 1 cm2 buah jeruk nipis, ambil airnya2 sdt gula pasir¼ sdt jintan bubuk¼ sdt AJI-NO-MOTO®Bahan PelengkapNasi dengan mixed seedsGrilled vegetables (wortel, brokoli, paprika merah, paprika kuning)","Langkah 1Belah membujur dada ayam jadi 2, sehingga mendapat 8 potong ayam.Langkah 2Lumuri ayam dengan madu, kecap asin, jahe, bawang putih, minyak, paprika bubuk, air jeruk nipis, dan AJI-NO-MOTO®. Aduk rata. Diamkan selama 10 menit.Langkah 3Masukkan semua bahan untuk saus salsa.. Aduk rata. Sisihkan.Langkah 4Panaskan pan. Bakar ayam hingga berubah warna kedua sisinya. Sesekali olesi dengan bumbu rendam.
Angkat, lalu siramkan saus salsa di dan sajikan dengan pelengkap.",buah
Resep Tumis Brokoli Jagung Ala Masako®,"1 sdt Masako® Ayam
3 siung bawang putih, cincang halus
½ siung bawang bombay, cincang halus
2 buah jagung manis, pipil
2 batang sosis, iris serong
½ kg brokoli, rendam air garam
Bumbu tambahan
½ sdt lada
1 sdt gula pasir1 sdt Masako® Ayam3 siung bawang putih, cincang halus½ siung bawang bombay, cincang halus2 buah jagung manis, pipil2 batang sosis, iris serong½ kg brokoli, rendam air garamBumbu tambahan½ sdt lada1 sdt gula pasir","Langkah 1Siapkan bahan-bahan yang dibutuhkan sesuai dengan penjelasan pada resep.Langkah 2Tumis bawang putih dan bawang bombay sampai harum. Masukkan jagung manis, sosis dan brokoli. Aduk hingga rata.Langkah 3Masukkan lada, gula pasir & Masako® Ayam. Masak hingga matang, siap dihidangkan.",buah
Resep Tumis Ayam Jagung Manis ala Masako®,"1 kg Ayam, potong 10 bagian
85 gr Jagung pipil
1 bks Masako® Rasa Ayam 9 gr
1/2 bh Bawang bombay, potong dadu
1 bh Cabai merah besar
1 sdm Kecap manis
½ sdt Merica bubuk
100 ml Air
700 ml Minyak goreng1 kg Ayam, potong 10 bagian85 gr Jagung pipil1 bks Masako® Rasa Ayam 9 gr1/2 bh Bawang bombay, potong dadu1 bh Cabai merah besar1 sdm Kecap manis½ sdt Merica bubuk100 ml Air700 ml Minyak goreng","Langkah 1Panaskan minyak goreng. Goreng ayam hingga setengah matang, angkat dan tiriskan.Langkah 2Potong bawang bombay bentuk dadu, iris cabai merah.Langkah 3Panaskan 2 sdm minyak goreng di atas wajan. Tumis bawang bombay dan cabai merah hingga harum.Langkah 4Masukkan ayam yang telah digoreng, jagung pipil, merica, kecap, air dan Masako® Rasa Ayam, masak hingga bumbu meresap. Sajikan selagi hangat.",buah
Resep Roti Gulung Jagung Ala Masako®,"350 gr jagung
200 gr daging sapi giling
100 gr wortel
500 gr tepung panir
5 lbr roti tawar
3 bh telur, kocok lepas
5 siung bawang putih cincang
½ bh bawang bombay cincang
1 bks Masako Rasa Sapi 11 g350 gr jagung200 gr daging sapi giling100 gr wortel500 gr tepung panir5 lbr roti tawar3 bh telur, kocok lepas5 siung bawang putih cincang½ bh bawang bombay cincang1 bks Masako Rasa Sapi 11 g","Langkah 1Tumis bawang putih dan bawang bombay. Masukkan daging sapi giling, jagung, dan Masako Rasa Sapi lalu masak hingga matang.Langkah 2Letakkan tumisan tersebut di atas roti lalu gulung.Langkah 3Celupkan roti gulung ke dalam telur, balur dengan tepung panir, lalu goreng hingga berwarna kuning keemasan.Langkah 4Angkat dan sajikan.",buah
Resep Kacang Panjang Tumis Jagung ala AJI-NO-MOTO®,"100 gr Kacang Panjang
100 gr Jagung Pipilan
2 bh Sosis Sapi
1 sdt AJI-NO-MOTO®
3 siung Bawang Merah
3 siung Bawang Putih
2 bh Cabai Merah Besar
50 ml Air
¼ sdt Garam
3 sdm Minyak goreng100 gr Kacang Panjang100 gr Jagung Pipilan2 bh Sosis Sapi1 sdt AJI-NO-MOTO®3 siung Bawang Merah3 siung Bawang Putih2 bh Cabai Merah Besar50 ml Air¼ sdt Garam3 sdm Minyak goreng","Langkah 1Iris bawang putih, bawang merah, dan sosis, potong serong cabai keriting, potong kacang panjang, sisihkanLangkah 2Panaskan minyak, masukkan bawang putih, bawang merah, dan cabai keriting, tumis hingga harum.Langkah 3Masukkan kacang panjang, sosis, dan jagung manis, aduk rata.Langkah 4Tambahkan air, AJI-NO-MOTO®dan garam, masak hingga matang.",buah
Resep Jagung Mayo Keju,"- 200 gr Jagung Manis Pipilan
- 2 sdm Keju Parut
- 3 sdm Susu Kental Manis
- 1 bks Mayumi® Pedas- 200 gr Jagung Manis Pipilan- 2 sdm Keju Parut- 3 sdm Susu Kental Manis- 1 bks Mayumi® Pedas","Langkah 1Kukus jagung hingga matang, angkat, sisihkan.Langkah 2Campur jagung dengan susu kental manis dan Mayumi® Pedas, aduk rata.Langkah 3Sajikan dengan taburan keju parut.",buah
Resep Sup Jagung Sajiku®,"- 1 sdm minyak goreng
- 100 gr jagung manis
- 30 gr wortel
- 100 gr daging dada ayam tanpa tulang
- 2 lbr sawi putih
- 600 ml air
- 1 btr telur kocok
- 3 sdm maizena larutkan dengan 3 sdm air
- 1 bks Sajiku® Bumbu Sayur Sop
- 1 btg daun bawang- 1 sdm minyak goreng- 100 gr jagung manis- 30 gr wortel- 100 gr daging dada ayam tanpa tulang- 2 lbr sawi putih- 600 ml air- 1 btr telur kocok- 3 sdm maizena larutkan dengan 3 sdm air- 1 bks Sajiku® Bumbu Sayur Sop- 1 btg daun bawang","Langkah 1Potong wortel ukuran korek api, iris iris daun bawang, iris tipis sawi putih, potong dada ayam ukuran dadu , sisihkan.Langkah 2Panaskan minyak dalam wajan , masukkan, daging ayam jagung manis, dan wortel aduk sebentar hingga ayam berubah warna.Langkah 3Tambahkan air , dan Sajiku® Bumbu Sayur Sop, masak hingga ayam matang dan empuk.Langkah 4Tambahkan sawi putih, daun bawang dan larutan maizena , aduk sebentar. lalu masukkan telur kocok, aduk rata, masak hingga mendidih. Angkat , Sajikan.",buah
Resep Bakwan Jagung Sajiku®,"- 50 g udang kupas
- 150 g jagung manis
- 2 btr telur
- 1 bks Sajiku® Tepung Bumbu
- Minyak goreng secukupnya
Bahan pelengkap :
Saus sambal dan Mayumi®- 50 g udang kupas- 150 g jagung manis- 2 btr telur- 1 bks Sajiku® Tepung Bumbu- Minyak goreng secukupnyaBahan pelengkap :Saus sambal dan Mayumi®","Langkah 1Pisahkan 8 udang untuk topping. Cincang kasar sisa udang, sisihkan.Campurkan udang cincang, jagung, telur & Sajiku® Tepung Bumbu, aduk rata hingga menjadi adonan.Langkah 2Panaskan spatula kedalam minyak.Langkah 3Tuang adonan di spatula, tambahkan udang utuhLangkah 4Goreng semua adonan bakwan hingga matang kuning keemasan.",buah
Resep Nasi Tim Ayam Jagung,"- 500g Nasi aron
- 1 bh Dada ayam
- 1/2 bh Bawang bombay
- 100 g Jagung manis
- 6 sdm SAORI® Saus Teriyaki
- 5 sdm Minyak goreng
Pelengkap:
- Kuah kaldu
- Daun bawang- 500g Nasi aron- 1 bh Dada ayam- 1/2 bh Bawang bombay- 100 g Jagung manis- 6 sdm SAORI® Saus Teriyaki- 5 sdm Minyak gorengPelengkap:- Kuah kaldu- Daun bawang","Langkah 1Iris iris bawang bombay. Potong dadu dada ayam.Langkah 2Tumis bawang bombay hingga harum. Masukkan dada ayam, masak hingga matang.Langkah 3Masukkan jagung dan SAORI® Saus Teriyaki, aduk rata. Masak hingga kuah mengental, angkat, dan sisihkan.Langkah 4Masukkan tumisan dan nasi aron ke dalam wadah, kukus ± 30 menit, angkat, dan sajikan.",buah
Resep Mentimun Muda Cah,"- 5 bh mentimun muda, kupas, belah dua. Buang biji, iris tebal memanjang
- 200 gr udang segar kupas, sisakan ekor, sayat punggungnya, bersihkan
- 3 siung bawang putih, iris tipis
- 2 bh cabai merah keriting, buang biji, iris serong
- 2 bh cabai hijau, iris serong
- 4 btg seledri, potong-potong
- 1 sdt gula
- Garam secukupnya
- Merica secukupnya
- 1 sdm air jeruk nipis
- 3 sdm minyak goreng
- 1 bks Masako® Rasa Ayam 11 gr- 5 bh mentimun muda, kupas, belah dua. Buang biji, iris tebal memanjang- 200 gr udang segar kupas, sisakan ekor, sayat punggungnya, bersihkan- 3 siung bawang putih, iris tipis- 2 bh cabai merah keriting, buang biji, iris serong- 2 bh cabai hijau, iris serong- 4 btg seledri, potong-potong- 1 sdt gula- Garam secukupnya- Merica secukupnya- 1 sdm air jeruk nipis- 3 sdm minyak goreng- 1 bks Masako® Rasa Ayam 11 gr","Langkah 1Tumis bawang putih. Tambahkan cabai merah, cabai hijau, dan seledri.Langkah 2Masukkan udang, tumis hingga berubah warna. Bubuhi dengan gula, air jeruk nipis, dan Masako® Rasa Ayam.Langkah 3Masukkan mentimun, tambahkan garam dan merica, aduk rata. Sajikan.",buah
